panel	dataset	display_label	endpoint	n_total	n_event_or_pCR	model_name	score_or_axis	effect_type	estimate	conf_low	conf_high	p_value	adjustment	role	point_shape	interpretation	source_key
A_pCR_summary	GSE194040	GSE194040 / I-SPY2 (internal)	pCR	363	142	axis_treatment_adjusted	APC_CXCL9_axis	OR	1.84731980072372	1.43746241115347	2.37403804069391	1.62463488839015e-06	Treatment arm	internal association	circle	Strong internal context association	GSE194040|pCR|axis_treatment_adjusted|APC_CXCL9_axis
A_pCR_summary	GSE25066_RMA	GSE25066 RMA	pCR	170	57	pCR_APC_CXCL9_axis	APC_CXCL9_axis	OR	0.992007305046916	0.720691329089034	1.3654645942672	0.960739305317605	Source cohort	independent chemotherapy context	circle	No association in chemotherapy context	GSE25066_RMA|pCR|pCR_APC_CXCL9_axis|APC_CXCL9_axis
A_pCR_summary	GSE163882	GSE163882	pCR	90	38	axis_only	APC_CXCL9_axis	OR	1.71510995440396	1.08441151774145	2.71262533417402	0.0210846515070232	Unadjusted	external cohort	circle	Supportive but proliferation-sensitive	GSE163882|pCR|axis_only|APC_CXCL9_axis
A_pCR_summary	GSE41998	GSE41998	pCR	125	51	axis_only	APC_CXCL9_axis	OR_per_1SD	1.29255426037591	0.89478330544675	1.86715208681924	0.171453744149818	Unadjusted	external cohort	circle	Directionally favorable; inconclusive	GSE41998|pCR|axis_only|APC_CXCL9_axis
A_pCR_summary	GSE20194	GSE20194	pCR	65	23	axis_only	APC_CXCL9_axis	OR_per_1SD	0.930123396063414	0.557494967223768	1.55181585981438	0.781491730101879	Unadjusted	external cohort	circle	Null/non-supportive	GSE20194|pCR|axis_only|APC_CXCL9_axis
A_pCR_summary	GSE22226	GSE22226 / I-SPY1	pCR	29	8	axis_only	APC_CXCL9_axis	OR_per_1SD	0.8707762097526659	0.3702162908821743	2.048130312322051	0.75117583427721	Platform	external cohort	circle	Underpowered external estimate	GSE22226|pCR|axis_only|APC_CXCL9_axis
A_pCR_summary	GSE32646	GSE32646	pCR	26	10	axis_only	APC_CXCL9_axis	OR_per_1SD	0.9738174032422516	0.4356453427179833	2.176817337104832	0.948455137649608	Unadjusted	external cohort	circle	Underpowered external estimate	GSE32646|pCR|axis_only|APC_CXCL9_axis
A_pCR_summary	Additional NAC cohorts (meta-analysis)	Five external NAC cohorts (REML)	pCR			random_effects_meta	APC_CXCL9_axis	OR_per_1SD	1.22220674928854	0.95020598114936	1.57206896992965	0.118219516257759	Random-effects meta-analysis (REML; k=5)	external meta-analysis	diamond	Directionally favorable; statistically inconclusive	Additional NAC cohorts (meta-analysis)|pCR|random_effects_meta|APC_CXCL9_axis
B_pCR_proliferation	GSE25066_RMA	GSE25066 RMA	pCR	170	57	pCR_Proliferation	Proliferation	OR	1.55092481059859	1.10317620646694	2.18040214612112	0.0115710378045409	Source cohort	independent chemotherapy context	circle	Proliferation comparator	GSE25066_RMA|pCR|pCR_Proliferation|Proliferation
B_pCR_proliferation	GSE20194	GSE20194	pCR	65	23	proliferation_only	Proliferation	OR_per_1SD	2.0609751656424993	1.13318238262072	3.7483980500752465	0.01780277208420579	Unadjusted	external cohort	circle	Proliferation comparator	GSE20194|pCR|proliferation_only|Proliferation
B_pCR_proliferation	GSE163882	GSE163882	pCR	90	38	proliferation_only	Proliferation	OR_per_1SD	1.6907947526874756	1.0587438523179589	2.7001685907848456	0.02787740832463228	Unadjusted	external cohort	circle	Proliferation comparator	GSE163882|pCR|proliferation_only|Proliferation
C_recurrence	GSE25066_RMA	GSE25066 RMA - DRFS	DRFS	178	64	DRFS_APC_CXCL9_axis	APC_CXCL9_axis	HR	0.871445369614557	0.688219647660327	1.10345154312924	0.253222318396595	Source cohort	independent chemotherapy context	circle	Recurrence association	GSE25066_RMA|DRFS|DRFS_APC_CXCL9_axis|APC_CXCL9_axis
C_recurrence	METABRIC	METABRIC - RFS, age adjusted	RFS	320	131	axis_age_adjusted	APC_CXCL9_axis	HR	0.752948717856905	0.637382837369974	0.889468210442695	0.000844639348082316	Age	external cohort	circle	Recurrence association	METABRIC|RFS|axis_age_adjusted|APC_CXCL9_axis
C_recurrence	METABRIC	METABRIC - RFS, age + stage	RFS	233	95	axis_age_stage_adjusted_complete_case	APC_CXCL9_axis	HR	0.83	0.68	1.01	0.064	Age and stage (complete cases)	sensitivity	open	Complete-case sensitivity	METABRIC|RFS|axis_age_stage_adjusted_complete_case|APC_CXCL9_axis
