panel	dataset	cohort_context	analysis_subset	endpoint	n_total	n_event_or_pCR	model_name	score_or_axis	effect_type	estimate	conf_low	conf_high	p_value	covariates	display_label	claim_strength	panel_role	source_row_id_or_unique_key
A_response_OR	GSE194040	I-SPY2 multi-arm neoadjuvant context	primary_TNBC	pCR	363	142	axis_treatment_adjusted	APC_CXCL9_axis	OR	1.84731980072372	1.43746241115347	2.37403804069391	1.62463488839015e-06	pCR_binary ~ treatment_arm + scale(APC_CXCL9_axis)	GSE194040/I-SPY2 APC axis	strong_context_association	primary	GSE194040|pCR|axis_treatment_adjusted|APC_CXCL9_axis
A_response_OR	GSE25066_RMA	HER2-negative chemotherapy-only NAC; RMA technical audit	primary_TNBC	pCR	170	57	pCR_APC_CXCL9_axis	APC_CXCL9_axis	OR	0.992007305046916	0.720691329089034	1.3654645942672	0.960739305317605	pCR_binary ~ cohort + scale(APC_CXCL9_axis)	GSE25066 RMA APC axis	valid_negative_context	primary	GSE25066_RMA|pCR|pCR_APC_CXCL9_axis|APC_CXCL9_axis
A_response_OR	GSE25066_RMA	HER2-negative chemotherapy-only NAC; RMA technical audit	primary_TNBC	pCR	170	57	pCR_Proliferation	Proliferation	OR	1.55092481059859	1.10317620646694	2.18040214612112	0.0115710378045409	pCR_binary ~ cohort + scale(Proliferation)	GSE25066 RMA proliferation	valid_negative_context	primary	GSE25066_RMA|pCR|pCR_Proliferation|Proliferation
A_response_OR	GSE163882	FFPE RNA-seq multi-institutional NAC	primary_TNBC	pCR	90	38	axis_only	APC_CXCL9_axis	OR	1.71510995440396	1.08441151774145	2.71262533417402	0.0210846515070232	pCR_binary ~ scale(APC_CXCL9_axis)	GSE163882 APC axis	supportive_but_sensitive	primary	GSE163882|pCR|axis_only|APC_CXCL9_axis
A_response_OR	GSE163882	FFPE RNA-seq multi-institutional NAC	primary_TNBC	pCR	90	38	axis_plus_proliferation	APC_CXCL9_axis	OR	1.45651608693544	0.860454242505759	2.46548742129949	0.161414497023366	pCR_binary ~ scale(APC_CXCL9_axis) + scale(Proliferation)	GSE163882 APC axis adjusted for proliferation	supportive_but_sensitive	sensitivity	GSE163882|pCR|axis_plus_proliferation|APC_CXCL9_axis
A_response_OR	GSE41998	manual external neoadjuvant chemotherapy cohort	primary_TNBC	pCR	125	51	axis_only	APC_CXCL9_axis	OR_per_1SD	1.29255426037591	0.89478330544675	1.86715208681924	0.171453744149818	pCR_binary ~ z_APC_CXCL9_axis	GSE41998 APC axis	directional_non_definitive	primary	GSE41998|pCR|axis_only|APC_CXCL9_axis
A_response_OR	GSE20194	manual external neoadjuvant chemotherapy cohort	primary_TNBC	pCR	65	23	axis_only	APC_CXCL9_axis	OR_per_1SD	0.930123396063414	0.557494967223768	1.55181585981438	0.781491730101879	pCR_binary ~ z_APC_CXCL9_axis	GSE20194 APC axis	null_or_non_supportive	primary	GSE20194|pCR|axis_only|APC_CXCL9_axis
A_response_OR	GSE20194	manual external neoadjuvant chemotherapy cohort	primary_TNBC	pCR	65	23	proliferation_only	Proliferation	OR_per_1SD	2.0609751656425	1.13318238262072	3.74839805007525	0.0178027720842058	pCR_binary ~ z_Proliferation	GSE20194 proliferation	strong_context_association	primary	GSE20194|pCR|proliferation_only|Proliferation
A_response_OR	manual_external_NAC_meta	non-I-SPY2 external NAC random-effects meta-analysis	primary_TNBC	pCR			random_effects_meta	APC_CXCL9_axis	OR_per_1SD	1.22220674928854	0.95020598114936	1.57206896992965	0.118219516257759	k=5; datasets=GSE41998;GSE20194;GSE22226;GSE32646;GSE163882	Manual external NAC meta	directional_non_definitive	primary	manual_external_NAC_meta|pCR|random_effects_meta|APC_CXCL9_axis
B_recurrence_HR	GSE25066_RMA	HER2-negative chemotherapy-only NAC; RMA technical audit	primary_TNBC	DRFS	178	64	DRFS_APC_CXCL9_axis	APC_CXCL9_axis	HR	0.871445369614557	0.688219647660327	1.10345154312924	0.253222318396595	Surv(drfs_time_years, drfs_event) ~ cohort + scale(APC_CXCL9_axis)	GSE25066 RMA DRFS APC axis	valid_negative_context	primary	GSE25066_RMA|DRFS|DRFS_APC_CXCL9_axis|APC_CXCL9_axis
B_recurrence_HR	METABRIC	clinical TNBC recurrence biology	clinical_TNBC	RFS	320	131	axis_age_adjusted	APC_CXCL9_axis	HR	0.752948717856905	0.637382837369974	0.889468210442695	0.000844639348082316	Surv(rfs_time_months, rfs_event) ~ scale(APC_CXCL9_axis) + age	METABRIC RFS APC axis	recurrence_biology_support	primary	METABRIC|RFS|axis_age_adjusted|APC_CXCL9_axis
