dataset	dataset_label	score	score_label	spearman	n
GSE194040	GSE194040 TNBC	TNBC_BIR_favorable_score	Aggregate BIR	0.30703977087703865	363
GSE194040	GSE194040 TNBC	Immune_remodeling_score	Immune remodeling	0.8740671683916286	363
GSE194040	GSE194040 TNBC	HLAII	HLA-II	0.9517757481092489	363
GSE194040	GSE194040 TNBC	Proliferation	Proliferation	-0.15251624317420404	363
GSE194040	GSE194040 TNBC	Cytolytic	Cytolytic	0.8104083259783914	363
GSE25066_RMA	GSE25066 RMA	TNBC_BIR_favorable_score	Aggregate BIR	0.02191865436264556	508
GSE25066_RMA	GSE25066 RMA	Immune_remodeling_score	Immune remodeling	0.8484445338242346	508
GSE25066_RMA	GSE25066 RMA	HLAII	HLA-II	0.9640534581054049	508
GSE25066_RMA	GSE25066 RMA	Proliferation	Proliferation	-0.047571976335754676	508
GSE25066_RMA	GSE25066 RMA	Cytolytic	Cytolytic	0.6113992307500081	508
METABRIC	METABRIC TNBC	TNBC_BIR_favorable_score	Aggregate BIR	0.42344908153399935	320
METABRIC	METABRIC TNBC	Immune_remodeling_score	Immune remodeling	0.9152495385697127	320
METABRIC	METABRIC TNBC	HLAII	HLA-II	0.962955937069698	320
METABRIC	METABRIC TNBC	Proliferation	Proliferation	-0.2775528813757947	320
METABRIC	METABRIC TNBC	Cytolytic	Cytolytic	0.7752841824627194	320
