dataset	context_label	endpoint	final_column	model_name	model_formula_or_covariates	score_or_axis	effect_type	estimate	conf_low	conf_high	p_value	final_display_category	source_table	source_row_id_or_unique_key
Additional NAC cohorts (meta-analysis)	non-I-SPY2 external NAC random-effects meta-analysis	pCR	Antigen-presentation score	random_effects_meta	k=5; datasets=GSE41998;GSE20194;GSE22226;GSE32646;GSE163882	APC_CXCL9_axis	OR_per_1SD	1.22220674928854	0.95020598114936	1.57206896992965	0.118219516257759	null_or_inconclusive	round4_external_NAC_meta_summary	Additional NAC cohorts (meta-analysis)|pCR|random_effects_meta|APC_CXCL9_axis
GSE163882	FFPE RNA-seq multi-institutional NAC	pCR	AP score + proliferation	axis_plus_proliferation	pCR_binary ~ scale(APC_CXCL9_axis) + scale(Proliferation)	APC_CXCL9_axis	OR	1.45651608693544	0.860454242505759	2.46548742129949	0.161414497023366	null_or_inconclusive	GSE163882_axis_models_final	GSE163882|pCR|axis_plus_proliferation|APC_CXCL9_axis
GSE163882	GSE163882	pCR	Aggregate BIR	aggregate_BIR_descriptive	pCR_binary ~ scale(TNBC_BIR_favorable_score)	TNBC_BIR_favorable_score	OR	0.915727468854702	0.599486593822943	1.39879157575074	0.683786241255949	descriptive	results/GSE163882_axis_models_final.tsv	GSE163882|pCR|aggregate_BIR_descriptive|scale(TNBC_BIR_favorable_score)
GSE163882	FFPE RNA-seq multi-institutional NAC	pCR	Antigen-presentation score	axis_only	pCR_binary ~ scale(APC_CXCL9_axis)	APC_CXCL9_axis	OR	1.71510995440396	1.08441151774145	2.71262533417402	0.0210846515070232	supported_positive	GSE163882_axis_models_final	GSE163882|pCR|axis_only|APC_CXCL9_axis
GSE163882	GSE163882	pCR	Proliferation	proliferation_only	pCR_binary ~ scale(Proliferation)	Proliferation	OR	1.69079475268748	1.05874385231796	2.70016859078485	0.0278774083246323	supported_positive	results/GSE163882_axis_models_final.tsv	GSE163882|pCR|proliferation_only|scale(Proliferation)
GSE194040	GSE194040	pCR	AP score + proliferation	axis_plus_prolif_cytolytic	pCR_binary ~ treatment_arm + scale(APC_CXCL9_axis) + scale(Proliferation) +      scale(Cytolytic)	APC_CXCL9_axis	OR	2.44187415344024	1.58450068913034	3.76317247581141	5.21310041561947e-05	supported_positive	results/GSE194040_APC_CXCL9_axis_models.tsv	GSE194040|pCR|axis_plus_prolif_cytolytic|scale(APC_CXCL9_axis)
GSE194040	I-SPY2 multi-arm neoadjuvant context	pCR	Antigen-presentation score	axis_treatment_adjusted	pCR_binary ~ treatment_arm + scale(APC_CXCL9_axis)	APC_CXCL9_axis	OR	1.84731980072372	1.43746241115347	2.37403804069391	1.62463488839015e-06	supported_positive	GSE194040_APC_CXCL9_axis_models	GSE194040|pCR|axis_treatment_adjusted|APC_CXCL9_axis
GSE194040	GSE194040	pCR	Proliferation	axis_plus_prolif_cytolytic	pCR_binary ~ treatment_arm + scale(APC_CXCL9_axis) + scale(Proliferation) +      scale(Cytolytic)	Proliferation	OR	1.58437073873338	1.21710972266017	2.06245221036281	0.0006254733857904	supported_positive	results/GSE194040_APC_CXCL9_axis_models.tsv	GSE194040|pCR|axis_plus_prolif_cytolytic|scale(Proliferation)
GSE20194	GSE20194	pCR	AP score + proliferation	axis_plus_proliferation	pCR_binary ~ z_APC_CXCL9_axis + z_Proliferation	APC_CXCL9_axis	OR_per_1SD	1.00047478560805	0.578544444066022	1.73011737802335	0.998644697970732	null_or_inconclusive	results/round4_external_NAC_models.tsv	GSE20194|pCR|axis_plus_proliferation|APC_CXCL9_axis
GSE20194	GSE20194	pCR	Aggregate BIR	aggregate_BIR_descriptive	pCR_binary ~ z_TNBC_BIR_favorable_score	TNBC_BIR_favorable_score	OR_per_1SD	0.971567377798272	0.580805651949792	1.62523068849786	0.912500100889422	descriptive	results/round4_external_NAC_models.tsv	GSE20194|pCR|aggregate_BIR_descriptive|TNBC_BIR_favorable_score
GSE20194	manual external neoadjuvant chemotherapy cohort	pCR	Antigen-presentation score	axis_only	pCR_binary ~ z_APC_CXCL9_axis	APC_CXCL9_axis	OR_per_1SD	0.930123396063414	0.557494967223768	1.55181585981438	0.781491730101879	null_or_inconclusive	round4_external_NAC_models	GSE20194|pCR|axis_only|APC_CXCL9_axis
