dataset	source_compartment	subcluster	module	module_label	n_cells	n_samples	n_patients	score_raw	score_z_within_module	source_interpretation
GSE266919	Myeloid	Macro-FOLR2	CXCL9_FOLR2_macrophage	CXCL9/FOLR2 macrophage	1482	50	33	2.4148739062045146	1.483495254564478	Selected coherent APC/myeloid/B-cell subcluster
GSE266919	Myeloid	Macro-CXCL9	CXCL9_FOLR2_macrophage	CXCL9/FOLR2 macrophage	6569	74	42	2.1701065354495985	1.1211791915786278	Selected coherent APC/myeloid/B-cell subcluster
GSE266919	Myeloid	Macro-CCL3L1	CXCL9_FOLR2_macrophage	CXCL9/FOLR2 macrophage	1531	41	30	2.1508648692826293	1.0926967810783945	Selected coherent APC/myeloid/B-cell subcluster
GSE266919	Myeloid	Macro-ISG15	CXCL9_FOLR2_macrophage	CXCL9/FOLR2 macrophage	3367	64	39	1.995647221539008	0.8629363891481154	Selected coherent APC/myeloid/B-cell subcluster
GSE266919	Myeloid	cDC2-CLEC10A	CXCL9_FOLR2_macrophage	CXCL9/FOLR2 macrophage	3747	75	43	1.7698991897620568	0.5287736376017605	Selected coherent APC/myeloid/B-cell subcluster
GSE266919	Myeloid	cDC1-CLEC9A	CXCL9_FOLR2_macrophage	CXCL9/FOLR2 macrophage	884	72	43	1.5294123621174938	0.17279383390733857	Selected coherent APC/myeloid/B-cell subcluster
GSE266919	Myeloid	mDC-LAMP3	CXCL9_FOLR2_macrophage	CXCL9/FOLR2 macrophage	1101	68	42	1.4321648014086432	0.028843464941337348	Selected coherent APC/myeloid/B-cell subcluster
GSE266919	Bcell	Bact-IFITM1	CXCL9_FOLR2_macrophage	CXCL9/FOLR2 macrophage	5372	62	38	1.2781345200917629	-0.19915933189883	Selected coherent APC/myeloid/B-cell subcluster
GSE266919	Bcell	Bn-CD69	CXCL9_FOLR2_macrophage	CXCL9/FOLR2 macrophage	10269	67	40	1.2640836285275097	-0.21995811605580315	Selected coherent APC/myeloid/B-cell subcluster
GSE266919	Bcell	Bmem-NR4A2	CXCL9_FOLR2_macrophage	CXCL9/FOLR2 macrophage	10886	64	39	1.240762292842917	-0.25447944339920003	Selected coherent APC/myeloid/B-cell subcluster
GSE266919	CD8Tcell	CD8_Tsem-EOMES	CXCL9_FOLR2_macrophage	CXCL9/FOLR2 macrophage	13037	76	43	0.4748420404505153	-1.3882302760859955	Context only
GSE266919	CD4Tcell	CD4_Tfh-DUSP4	CXCL9_FOLR2_macrophage	CXCL9/FOLR2 macrophage	8529	74	43	0.3316146278558481	-1.6002421634666486	Context only
GSE266919	Myeloid	MAST-TPSAB1	CXCL9_FOLR2_macrophage	CXCL9/FOLR2 macrophage	1757	60	38	0.3124238667572812	-1.6286492219135724	Selected coherent APC/myeloid/B-cell subcluster
GSE266919	Myeloid	mDC-LAMP3	DC_HLA_antigen_presentation	Dendritic-cell/HLA	1101	68	42	2.2521651683295105	1.4944540895948737	Selected coherent APC/myeloid/B-cell subcluster
GSE266919	Myeloid	cDC1-CLEC9A	DC_HLA_antigen_presentation	Dendritic-cell/HLA	884	72	43	2.003799055633293	1.0438024745307046	Selected coherent APC/myeloid/B-cell subcluster
GSE266919	Myeloid	cDC2-CLEC10A	DC_HLA_antigen_presentation	Dendritic-cell/HLA	3747	75	43	1.739154438510799	0.5636140831692661	Selected coherent APC/myeloid/B-cell subcluster
GSE266919	Myeloid	Macro-FOLR2	DC_HLA_antigen_presentation	Dendritic-cell/HLA	1482	50	33	1.7213930097012509	0.5313865925024522	Selected coherent APC/myeloid/B-cell subcluster
