record_type	signature	module_group	gene	expected_cell_source	role	priority	notes	dataset	n_signature_genes	n_genes_found	coverage	missing_genes	source_file	expression_source	annotation_note	platform	module
locked_gene_set_definition	Basoluminal_plasticity	Tumor_axis	KRT5	malignant_epithelial	core	1	basal cytokeratin										
locked_gene_set_definition	Basoluminal_plasticity	Tumor_axis	KRT7	malignant_epithelial	core	1	luminal cytokeratin; CK5/CK7 co-expression proxy										
locked_gene_set_definition	Basoluminal_plasticity	Tumor_axis	KRT19	malignant_epithelial	core	2	epithelial/luminal cytokeratin										
locked_gene_set_definition	Basoluminal_plasticity	Tumor_axis	ALDH1A3	malignant_epithelial	core	1	stem/progenitor-like marker										
locked_gene_set_definition	Basoluminal_plasticity	Tumor_axis	SOX9	malignant_epithelial	core	1	stem/plasticity transcription factor										
locked_gene_set_definition	Basoluminal_plasticity	Tumor_axis	TNFAIP3	malignant_epithelial	core	1	basoluminal-associated from supplement extraction										
locked_gene_set_definition	Basoluminal_plasticity	Tumor_axis	EGFR	malignant_epithelial	core	2	basal/TNBC epithelial marker										
locked_gene_set_definition	Basoluminal_plasticity	Tumor_axis	CD44	malignant_epithelial	core	2	stem/EMT-associated marker										
locked_gene_set_definition	Basoluminal_plasticity	Tumor_axis	NOTCH1	malignant_epithelial	secondary	2	plasticity pathway										
locked_gene_set_definition	Mast_cell	Immune_remodeling	TPSAB1	mast_cell	core	1	mast marker										
locked_gene_set_definition	Mast_cell	Immune_remodeling	TPSB2	mast_cell	core	1	mast marker										
locked_gene_set_definition	Mast_cell	Immune_remodeling	CPA3	mast_cell	core	1	mast marker										
locked_gene_set_definition	Mast_cell	Immune_remodeling	MS4A2	mast_cell	core	1	FCER1 pathway mast/basophil marker										
locked_gene_set_definition	Mast_cell	Immune_remodeling	KIT	mast_cell	secondary	2	mast marker										
locked_gene_set_definition	Mast_cell	Immune_remodeling	HPGDS	mast_cell	secondary	2	from TNBC supplement markers										
locked_gene_set_definition	Mast_cell	Immune_remodeling	GATA2	mast_cell	secondary	2	mast lineage TF										
locked_gene_set_definition	Tfh_TLS_like	Immune_remodeling	CXCL13	CD4_Tfh_B_TLS	core	1	Tfh/TLS chemokine										
locked_gene_set_definition	Tfh_TLS_like	Immune_remodeling	CXCR5	CD4_Tfh_B_TLS	core	1	Tfh marker										
locked_gene_set_definition	Tfh_TLS_like	Immune_remodeling	DUSP4	CD4_Tfh_B_TLS	core	1	CD4_Tfh-DUSP4 marker										
locked_gene_set_definition	Tfh_TLS_like	Immune_remodeling	IL6ST	CD4_Tfh_B_TLS	core	1	CD4_Tfh-IL6ST marker										
locked_gene_set_definition	Tfh_TLS_like	Immune_remodeling	PDCD1	CD4_Tfh_CD8_Tex	secondary	2	activation/exhaustion marker; interpret with cell type										
locked_gene_set_definition	Tfh_TLS_like	Immune_remodeling	TIGIT	T_cells	secondary	2	checkpoint; interpret with cell type										
locked_gene_set_definition	Tfh_TLS_like	Immune_remodeling	CD40LG	CD4_Tfh	core	1	Tfh/B cell help										
