dataset	analysis_subset	endpoint	n_total	n_event_or_pCR	model_name	variable	effect_type	estimate	conf_low	conf_high	p_value	covariates	notes
GSE194040	primary_TNBC	pCR	363	142	axis_treatment_adjusted	(Intercept)	OR	0.21330840202471107	0.122893697976929	0.370242535812354	3.9807243101142466e-8	pCR_binary ~ treatment_arm + scale(APC_CXCL9_axis)	
GSE194040	primary_TNBC	pCR	363	142	axis_treatment_adjusted	treatment_armPaclitaxel + ABT 888 + Carboplatin	OR	6.039521850921389	2.5579776670517376	14.2596335603657	4.0824393319848954e-5	pCR_binary ~ treatment_arm + scale(APC_CXCL9_axis)	
GSE194040	primary_TNBC	pCR	363	142	axis_treatment_adjusted	treatment_armPaclitaxel + AMG 386	OR	3.4176104532803877	1.5590173437495	7.491937955148309	0.00214858359623718	pCR_binary ~ treatment_arm + scale(APC_CXCL9_axis)	
GSE194040	primary_TNBC	pCR	363	142	axis_treatment_adjusted	treatment_armPaclitaxel + Ganetespib	OR	3.1486924824470703	1.3868310390612024	7.148862456763318	0.00611234119555831	pCR_binary ~ treatment_arm + scale(APC_CXCL9_axis)	
GSE194040	primary_TNBC	pCR	363	142	axis_treatment_adjusted	treatment_armPaclitaxel + Ganitumab	OR	2.312843288469816	1.003868933039623	5.3286279722023595	0.0489452584554423	pCR_binary ~ treatment_arm + scale(APC_CXCL9_axis)	
GSE194040	primary_TNBC	pCR	363	142	axis_treatment_adjusted	treatment_armPaclitaxel + MK-2206	OR	3.326800334353667	1.3355022682007285	8.287219518965424	0.00984352843050952	pCR_binary ~ treatment_arm + scale(APC_CXCL9_axis)	
GSE194040	primary_TNBC	pCR	363	142	axis_treatment_adjusted	treatment_armPaclitaxel + Neratinib	OR	3.519481040817152	1.3928179422502744	8.893299275466696	0.00780116955998001	pCR_binary ~ treatment_arm + scale(APC_CXCL9_axis)	
GSE194040	primary_TNBC	pCR	363	142	axis_treatment_adjusted	treatment_armPaclitaxel + Pembrolizumab	OR	9.464035524849857	3.5635668064918136	25.134359275221826	6.482316023355282e-6	pCR_binary ~ treatment_arm + scale(APC_CXCL9_axis)	
GSE194040	primary_TNBC	pCR	363	142	axis_treatment_adjusted	scale(APC_CXCL9_axis)	OR	1.8473198007237217	1.437462411153471	2.37403804069391	1.6246348883901525e-6	pCR_binary ~ treatment_arm + scale(APC_CXCL9_axis)	
GSE194040	primary_TNBC	pCR	363	142	axis_plus_prolif_cytolytic	(Intercept)	OR	0.23513400045300903	0.1353873096999028	0.4083691321704086	2.749145817028617e-7	pCR_binary ~ treatment_arm + scale(APC_CXCL9_axis) + scale(Proliferation) +      scale(Cytolytic)	
GSE194040	primary_TNBC	pCR	363	142	axis_plus_prolif_cytolytic	treatment_armPaclitaxel + ABT 888 + Carboplatin	OR	5.239221942752986	2.177080009588209	12.60837748017189	2.1871439072243423e-4	pCR_binary ~ treatment_arm + scale(APC_CXCL9_axis) + scale(Proliferation) +      scale(Cytolytic)	
GSE194040	primary_TNBC	pCR	363	142	axis_plus_prolif_cytolytic	treatment_armPaclitaxel + AMG 386	OR	3.151753520746973	1.427078456354811	6.960759733500724	0.00451522157382437	pCR_binary ~ treatment_arm + scale(APC_CXCL9_axis) + scale(Proliferation) +      scale(Cytolytic)	
GSE194040	primary_TNBC	pCR	363	142	axis_plus_prolif_cytolytic	treatment_armPaclitaxel + Ganetespib	OR	2.376978004508134	1.0282909463369068	5.494577632957503	0.04284104795192515	pCR_binary ~ treatment_arm + scale(APC_CXCL9_axis) + scale(Proliferation) +      scale(Cytolytic)	
GSE194040	primary_TNBC	pCR	363	142	axis_plus_prolif_cytolytic	treatment_armPaclitaxel + Ganitumab	OR	1.9147457440371216	0.8209608085058032	4.465805463942989	0.13273293602573455	pCR_binary ~ treatment_arm + scale(APC_CXCL9_axis) + scale(Proliferation) +      scale(Cytolytic)	
GSE194040	primary_TNBC	pCR	363	142	axis_plus_prolif_cytolytic	treatment_armPaclitaxel + MK-2206	OR	3.2830879135252324	1.2842717374004382	8.392823679008249	0.01304791569285859	pCR_binary ~ treatment_arm + scale(APC_CXCL9_axis) + scale(Proliferation) +      scale(Cytolytic)	
GSE194040	primary_TNBC	pCR	363	142	axis_plus_prolif_cytolytic	treatment_armPaclitaxel + Neratinib	OR	2.845279555629221	1.1030694466600328	7.339171413181834	0.0305481679457522	pCR_binary ~ treatment_arm + scale(APC_CXCL9_axis) + scale(Proliferation) +      scale(Cytolytic)	
GSE194040	primary_TNBC	pCR	363	142	axis_plus_prolif_cytolytic	treatment_armPaclitaxel + Pembrolizumab	OR	8.803406889283071	3.2661064236553607	23.728551004024	1.7107105248095044e-5	pCR_binary ~ treatment_arm + scale(APC_CXCL9_axis) + scale(Proliferation) +      scale(Cytolytic)	
GSE194040	primary_TNBC	pCR	363	142	axis_plus_prolif_cytolytic	scale(APC_CXCL9_axis)	OR	2.4418741534402444	1.5845006891303397	3.7631724758114142	5.213100415619468e-5	pCR_binary ~ treatment_arm + scale(APC_CXCL9_axis) + scale(Proliferation) +      scale(Cytolytic)	
GSE194040	primary_TNBC	pCR	363	142	axis_plus_prolif_cytolytic	scale(Proliferation)	OR	1.584370738733376	1.217109722660172	2.0624522103628147	6.254733857904966e-4	pCR_binary ~ treatment_arm + scale(APC_CXCL9_axis) + scale(Proliferation) +      scale(Cytolytic)	
