analysis_level	source_celltype	MajorCluster	SubCluster	Subset	module	n_pairs	n_samples	n_patients	mean_delta	median_delta	p_adj_BH_within_module
major_celltype	Bcell				APC_CXCL9_axis	31			0.1853951426927171	0.08599519946868919	0.419384262423812
major_celltype	Bcell				CD8_Tsem_memory	31			0.0108055452990845	1.5866604431163944e-4	0.7407012978595249
major_celltype	Bcell				CXCL9_FOLR2_macrophage	31			0.0759924158112033	0.03239498478331315	0.32241849338999573
major_celltype	Bcell				Cytolytic	31			-0.01470579302230765	8.280351911833803e-4	0.852313662220209
major_celltype	Bcell				DC_HLA_antigen_presentation	31			0.09088320852467568	0.04924967336583863	0.32478310486538986
major_celltype	Bcell				HLAII	31			0.2203393220171279	0.08949029118931873	0.419384262423812
major_celltype	Bcell				Immune_remodeling_score	31			0.10572509134881124	0.07517165672591886	0.40602782917743663
major_celltype	Bcell				Mast_cell	31			-2.704231678981992e-5	0	1
major_celltype	Bcell				Proliferation	31			0.00343348105304462	0.00131325488113163	0.8287316778216198
major_celltype	Bcell				Suppressive_myeloid	31			-0.00848721280723213	-0.00421842382698554	0.1794782167623955
major_celltype	Bcell				Tfh_TLS_like	31			0.01973002765027211	0.0387375283686005	0.5744194872668851
major_celltype	CD4Tcell				APC_CXCL9_axis	31			-0.08294732529689043	-0.10048207943984222	0.13740690464484415
major_celltype	CD4Tcell				CD8_Tsem_memory	31			0.04850881875286553	0.00804876811499222	0.7407012978595249
major_celltype	CD4Tcell				CXCL9_FOLR2_macrophage	31			-0.03580710688874251	-0.03778888950115938	0.12217384488384386
major_celltype	CD4Tcell				Cytolytic	31			-6.625464625209073e-7	-0.01865958743336855	0.852313662220209
major_celltype	CD4Tcell				DC_HLA_antigen_presentation	31			-0.04229289817246117	-0.03965789249796869	0.13740690464484415
major_celltype	CD4Tcell				HLAII	31			-0.09036751671399657	-0.09693909229093334	0.1288498149324513
major_celltype	CD4Tcell				Immune_remodeling_score	31			0.0121964443245297	9.184454355091188e-4	0.5780230038797376
major_celltype	CD4Tcell				Mast_cell	31			0.00154693365367617	7.284955267883186e-4	0.00848268564901888
major_celltype	CD4Tcell				Proliferation	31			-0.00517793706082989	-0.00584090428713438	0.12225280077955816
major_celltype	CD4Tcell				Suppressive_myeloid	31			-0.01390148998890715	-0.00303067224985009	0.05836969904908247
major_celltype	CD4Tcell				Tfh_TLS_like	31			0.00682152014739302	-0.00922067412918653	0.7613210682843542
major_celltype	CD8Tcell				APC_CXCL9_axis	31			-0.01275326988190278	-0.00841449607060407	0.8779537388642158
major_celltype	CD8Tcell				CD8_Tsem_memory	31			0.02556343746609535	0.02474933668908774	0.7407012978595249
major_celltype	CD8Tcell				CXCL9_FOLR2_macrophage	31			-0.00246348850828187	-2.872396108341002e-4	0.8677079024141874
major_celltype	CD8Tcell				Cytolytic	31			-0.03177776267301411	0.04037724365097395	0.852313662220209
major_celltype	CD8Tcell				DC_HLA_antigen_presentation	31			-0.01420631490248582	-0.00269602146480252	0.4505688630632178
major_celltype	CD8Tcell				HLAII	31			3.6429981362168056e-5	0.02054553037385798	0.9609261793187878
major_celltype	CD8Tcell				Immune_remodeling_score	31			-0.00390711606274458	0.03970163396177056	0.6035456661833725
major_celltype	CD8Tcell				Mast_cell	31			3.6615323112392e-5	2.0357694946394086e-5	0.8699327780470891
major_celltype	CD8Tcell				Proliferation	31			-0.01384252663755899	-0.0131315284904865	0.12225280077955816
major_celltype	CD8Tcell				Suppressive_myeloid	31			-0.01504724702098292	-0.00845369902655013	0.03469386500955891
major_celltype	CD8Tcell				Tfh_TLS_like	31			-0.01047538362757159	-0.00142855967082383	0.7613210682843542
major_celltype	Myeloid				APC_CXCL9_axis	32			0.05559901192560138	-0.03117869437489906	0.918086649384457
major_celltype	Myeloid				CD8_Tsem_memory	32			-0.00129835141708097	0.0058967227727098	0.9478186695198616
major_celltype	Myeloid				CXCL9_FOLR2_macrophage	32			-0.0338373955617684	-0.06716734754490561	0.32241849338999573
major_celltype	Myeloid				Cytolytic	32			-4.568870926873794e-4	0.00214198526486727	0.852313662220209
major_celltype	Myeloid				DC_HLA_antigen_presentation	32			0.04591975876504369	0.01097190889073573	0.32478310486538986
major_celltype	Myeloid				HLAII	32			0.1381127743548428	0.03811265987718082	0.43127271808986983
major_celltype	Myeloid				Immune_remodeling_score	32			0.22194405746589693	0.07599584163649929	0.053490996693909
major_celltype	Myeloid				Mast_cell	32			0.09787257137792583	0.03318999339378254	0.00848268564901888
major_celltype	Myeloid				Proliferation	32			-0.00512237943922228	-0.00716335005007372	0.28221033468392853
major_celltype	Myeloid				Suppressive_myeloid	32			-0.17269621207685432	-0.1487467499694154	0.00451602166861575
major_celltype	Myeloid				Tfh_TLS_like	32			0.00351709872871734	0.00594276949615674	0.5744194872668851
major_celltype	NKcell				APC_CXCL9_axis	28			0.09470922471113916	0.05064299407345229	0.16696940759977907
major_celltype	NKcell				CD8_Tsem_memory	28			0.0266396509806305	-0.0018561529640228	0.7407012978595249
major_celltype	NKcell				CXCL9_FOLR2_macrophage	28			0.03830246039815033	0.0290068286359072	0.12217384488384386
major_celltype	NKcell				Cytolytic	28			0.07427653249304525	0.16648671676271976	0.852313662220209
major_celltype	NKcell				DC_HLA_antigen_presentation	28			0.04447996877792539	0.03548662635034258	0.25872911989585134
major_celltype	NKcell				HLAII	28			0.11884747273653812	0.0753823133841568	0.1288498149324513
major_celltype	NKcell				Immune_remodeling_score	28			0.07356637358679079	0.10299035549870277	0.2837737184790312
major_celltype	NKcell				Mast_cell	28			0.00433558584353437	0.00236298324119344	0.13590211888318032
major_celltype	NKcell				Proliferation	28			-0.00552618153266547	-0.00266481675586395	0.8287316778216198
