dataset	analysis_subset	endpoint	n_total	n_event_or_pCR	model_name	variable	effect_type	estimate	conf_low	conf_high	p_value	covariates	notes	source_file	signature	n_signature_genes	n_genes_found	coverage	missing_genes	n_non_event_or_RD	log_effect	se_log_effect	source_context	meta_set	include_GSE194040	include_GSE25066	k	fixed_estimate	fixed_conf_low	fixed_conf_high	fixed_p_value	random_estimate	random_conf_low	random_conf_high	random_p_value	I2	Q_p_value	included_datasets	analysis_level	source_celltype	module	n_pairs	mean_delta	median_delta	sd_delta	min_delta	max_delta	test	statistic	p_adj_BH_within_module	MajorCluster	SubCluster	Subset	comparison	value	p_adj_BH	n_samples	n_patients	n_R	n_NR	effect_R_minus_NR	score_or_axis
GSE194040	primary_TNBC	pCR	363	142	axis_treatment_adjusted	(Intercept)	OR	0.213308402024711	0.122893697976929	0.370242535812354	3.98072431011425e-08	pCR_binary ~ treatment_arm + scale(APC_CXCL9_axis)		results/GSE194040_APC_CXCL9_axis_models.tsv																																																
GSE194040	primary_TNBC	pCR	363	142	axis_treatment_adjusted	treatment_armPaclitaxel + ABT 888 + Carboplatin	OR	6.03952185092139	2.55797766705174	14.2596335603657	4.0824393319849e-05	pCR_binary ~ treatment_arm + scale(APC_CXCL9_axis)		results/GSE194040_APC_CXCL9_axis_models.tsv																																																
GSE194040	primary_TNBC	pCR	363	142	axis_treatment_adjusted	treatment_armPaclitaxel + AMG 386	OR	3.41761045328039	1.5590173437495	7.49193795514831	0.00214858359623718	pCR_binary ~ treatment_arm + scale(APC_CXCL9_axis)		results/GSE194040_APC_CXCL9_axis_models.tsv																																																
GSE194040	primary_TNBC	pCR	363	142	axis_treatment_adjusted	treatment_armPaclitaxel + Ganetespib	OR	3.14869248244707	1.3868310390612	7.14886245676332	0.00611234119555831	pCR_binary ~ treatment_arm + scale(APC_CXCL9_axis)		results/GSE194040_APC_CXCL9_axis_models.tsv																																																
GSE194040	primary_TNBC	pCR	363	142	axis_treatment_adjusted	treatment_armPaclitaxel + Ganitumab	OR	2.31284328846982	1.00386893303962	5.32862797220236	0.0489452584554423	pCR_binary ~ treatment_arm + scale(APC_CXCL9_axis)		results/GSE194040_APC_CXCL9_axis_models.tsv																																																
GSE194040	primary_TNBC	pCR	363	142	axis_treatment_adjusted	treatment_armPaclitaxel + MK-2206	OR	3.32680033435367	1.33550226820073	8.28721951896542	0.00984352843050952	pCR_binary ~ treatment_arm + scale(APC_CXCL9_axis)		results/GSE194040_APC_CXCL9_axis_models.tsv																																																
GSE194040	primary_TNBC	pCR	363	142	axis_treatment_adjusted	treatment_armPaclitaxel + Neratinib	OR	3.51948104081715	1.39281794225027	8.8932992754667	0.00780116955998001	pCR_binary ~ treatment_arm + scale(APC_CXCL9_axis)		results/GSE194040_APC_CXCL9_axis_models.tsv																																																
GSE194040	primary_TNBC	pCR	363	142	axis_treatment_adjusted	treatment_armPaclitaxel + Pembrolizumab	OR	9.46403552484986	3.56356680649181	25.1343592752218	6.48231602335528e-06	pCR_binary ~ treatment_arm + scale(APC_CXCL9_axis)		results/GSE194040_APC_CXCL9_axis_models.tsv																																																
GSE194040	primary_TNBC	pCR	363	142	axis_treatment_adjusted	scale(APC_CXCL9_axis)	OR	1.84731980072372	1.43746241115347	2.37403804069391	1.62463488839015e-06	pCR_binary ~ treatment_arm + scale(APC_CXCL9_axis)		results/GSE194040_APC_CXCL9_axis_models.tsv																																																
GSE194040	primary_TNBC	pCR	363	142	axis_plus_prolif_cytolytic	(Intercept)	OR	0.235134000453009	0.135387309699903	0.408369132170409	2.74914581702862e-07	pCR_binary ~ treatment_arm + scale(APC_CXCL9_axis) + scale(Proliferation) +      scale(Cytolytic)		results/GSE194040_APC_CXCL9_axis_models.tsv																																																
GSE194040	primary_TNBC	pCR	363	142	axis_plus_prolif_cytolytic	treatment_armPaclitaxel + ABT 888 + Carboplatin	OR	5.23922194275299	2.17708000958821	12.6083774801719	0.000218714390722434	pCR_binary ~ treatment_arm + scale(APC_CXCL9_axis) + scale(Proliferation) +      scale(Cytolytic)		results/GSE194040_APC_CXCL9_axis_models.tsv																																																
GSE194040	primary_TNBC	pCR	363	142	axis_plus_prolif_cytolytic	treatment_armPaclitaxel + AMG 386	OR	3.15175352074697	1.42707845635481	6.96075973350072	0.00451522157382437	pCR_binary ~ treatment_arm + scale(APC_CXCL9_axis) + scale(Proliferation) +      scale(Cytolytic)		results/GSE194040_APC_CXCL9_axis_models.tsv																																																
GSE194040	primary_TNBC	pCR	363	142	axis_plus_prolif_cytolytic	treatment_armPaclitaxel + Ganetespib	OR	2.37697800450813	1.02829094633691	5.4945776329575	0.0428410479519251	pCR_binary ~ treatment_arm + scale(APC_CXCL9_axis) + scale(Proliferation) +      scale(Cytolytic)		results/GSE194040_APC_CXCL9_axis_models.tsv																																																
GSE194040	primary_TNBC	pCR	363	142	axis_plus_prolif_cytolytic	treatment_armPaclitaxel + Ganitumab	OR	1.91474574403712	0.820960808505803	4.46580546394299	0.132732936025735	pCR_binary ~ treatment_arm + scale(APC_CXCL9_axis) + scale(Proliferation) +      scale(Cytolytic)		results/GSE194040_APC_CXCL9_axis_models.tsv																																																
GSE194040	primary_TNBC	pCR	363	142	axis_plus_prolif_cytolytic	treatment_armPaclitaxel + MK-2206	OR	3.28308791352523	1.28427173740044	8.39282367900825	0.0130479156928586	pCR_binary ~ treatment_arm + scale(APC_CXCL9_axis) + scale(Proliferation) +      scale(Cytolytic)		results/GSE194040_APC_CXCL9_axis_models.tsv																																																
GSE194040	primary_TNBC	pCR	363	142	axis_plus_prolif_cytolytic	treatment_armPaclitaxel + Neratinib	OR	2.84527955562922	1.10306944666003	7.33917141318183	0.0305481679457522	pCR_binary ~ treatment_arm + scale(APC_CXCL9_axis) + scale(Proliferation) +      scale(Cytolytic)		results/GSE194040_APC_CXCL9_axis_models.tsv																																																
GSE194040	primary_TNBC	pCR	363	142	axis_plus_prolif_cytolytic	treatment_armPaclitaxel + Pembrolizumab	OR	8.80340688928307	3.26610642365536	23.728551004024	1.7107105248095e-05	pCR_binary ~ treatment_arm + scale(APC_CXCL9_axis) + scale(Proliferation) +      scale(Cytolytic)		results/GSE194040_APC_CXCL9_axis_models.tsv																																																
GSE194040	primary_TNBC	pCR	363	142	axis_plus_prolif_cytolytic	scale(APC_CXCL9_axis)	OR	2.44187415344024	1.58450068913034	3.76317247581141	5.21310041561947e-05	pCR_binary ~ treatment_arm + scale(APC_CXCL9_axis) + scale(Proliferation) +      scale(Cytolytic)		results/GSE194040_APC_CXCL9_axis_models.tsv																																																
GSE194040	primary_TNBC	pCR	363	142	axis_plus_prolif_cytolytic	scale(Proliferation)	OR	1.58437073873338	1.21710972266017	2.06245221036281	0.000625473385790497	pCR_binary ~ treatment_arm + scale(APC_CXCL9_axis) + scale(Proliferation) +      scale(Cytolytic)		results/GSE194040_APC_CXCL9_axis_models.tsv																																																
GSE194040	primary_TNBC	pCR	363	142	axis_plus_prolif_cytolytic	scale(Cytolytic)	OR	0.783431135700567	0.52560301378959	1.167733685467	0.230707126134486	pCR_binary ~ treatment_arm + scale(APC_CXCL9_axis) + scale(Proliferation) +      scale(Cytolytic)		results/GSE194040_APC_CXCL9_axis_models.tsv																																																
GSE194040	arm_Paclitaxel	pCR	85	17	arm_specific_axis	(Intercept)	OR	0.228085181291893	0.12822071282332	0.405728908999592	4.91184327208488e-07	pCR_binary ~ scale(APC_CXCL9_axis)		results/GSE194040_APC_CXCL9_axis_models.tsv																																																
GSE194040	arm_Paclitaxel	pCR	85	17	arm_specific_axis	scale(APC_CXCL9_axis)	OR	1.76889015662302	0.946340313840487	3.30639236270054	0.0739084298917795	pCR_binary ~ scale(APC_CXCL9_axis)		results/GSE194040_APC_CXCL9_axis_models.tsv																																																
GSE194040	arm_Paclitaxel + ABT 888 + Carboplatin	pCR	39	22	arm_specific_axis	(Intercept)	OR	1.31004663744948	0.662625912328881	2.59003181185719	0.437406366716453	pCR_binary ~ scale(APC_CXCL9_axis)		results/GSE194040_APC_CXCL9_axis_models.tsv																																																
GSE194040	arm_Paclitaxel + ABT 888 + Carboplatin	pCR	39	22	arm_specific_axis	scale(APC_CXCL9_axis)	OR	2.35063994581497	1.0792112941199	5.11995026828097	0.0314026162473251	pCR_binary ~ scale(APC_CXCL9_axis)		results/GSE194040_APC_CXCL9_axis_models.tsv																																																
GSE194040	arm_Paclitaxel + AMG 386	pCR	53	23	arm_specific_axis	(Intercept)	OR	0.65490387260785	0.342035064326619	1.25396231874985	0.201550393272344	pCR_binary ~ scale(APC_CXCL9_axis)		results/GSE194040_APC_CXCL9_axis_models.tsv																																																
